W, N, 0, 0
K, N, 0, 0
X, N, 1028, N
Q, N, 414, N
G, N, 519, N
G, T, 566, T
H, N, 588, N
F, N, 520, N
F, T, 619, T
F, T, 466, T
F, T, 487, T
K, N, 567, N
M, N, 858, N
M, T, 980, T
Z, N, 624, N
D, N, 438, N
D, T, 390, T
Q, N, 505, N
Q, T, 444, T
T, N, 500, N
T, T, 359, T
T, T, 403, T
T, T, 483, T
T, T, 364, T
N, N, 481, N
N, T, 658, T
N, T, 546, T
B, N, 523, N
T, N, 892, N
P, N, 559, N
P, T, 767, T
Z, N, 462, N
N, N, 510, N
N, T, 574, N
R, N, 718, N
K, N, 560, T
Z, N, 555, N
Z, T, 842, T
X, N, 676, N
C, N, 1161, N
C, T, 643, T
S, N, 702, N
S, T, 784, T
D, N, 784, N
N, N, 885, N
T, N, 1377, N
X, N, 953, N
R, N, 748, N
