R, N, 0, 0
J, N, 259, N
M, N, 472, N
R, T, 958, T
F, N, 852, N
M, T, 625, T
F, N, 1604, T
K, N, 918, N
Y, N, 671, N
F, T, 635, T
H, N, 975, N
N, N, 763, N
M, N, 1103, N
K, N, 0, 0
S, N, 615, N
S, N, 987, N
F, N, 982, N
S, T, 865, T
F, N, 1059, N
F, T, 1595, T
X, N, 742, N
G, N, 1131, N
N, N, 541, N
F, N, 1205, N
R, N, 731, N
F, N, 638, T
N, N, 590, N
R, T, 1068, T
H, N, 488, N
Q, N, 773, N
R, T, 662, T
H, T, 650, N
H, N, 898, N
Z, N, 935, N
K, N, 636, N
D, N, 648, N
W, N, 570, N
H, N, 1432, T
B, N, 832, N
J, N, 619, N
H, T, 707, T
B, T, 892, T
C, N, 500, N
N, N, 915, N
S, N, 583, N
B, N, 759, N
N, T, 771, N
S, T, 707, T
